title,content
"Programs Overview","Bachelor of Computer Science Programs Computer Science - Both general and honours programs are offered, leading to the degree of Bachelor of Computer Science (B.C.S.). Each permits the student to augment a specialized study of computers with an extensive study of one of a number of related fields, or with a broad spectrum of other courses. A Cooperative Education program is offered in Honours Computer Science. Also offered are B.Sc. programs leading to degrees in Computer Information Systems Specialization, or with Software Engineering Specialization."
"Programs Regulations","COMPUTER SCIENCE PROGRAM AND CO-OPERATIVE EDUCATION REGULATIONS ENGLISH PROFICIENCY It is highly recommended that students take English ENGL-1001 (Composition) as students in Computer Science should develop good oral and written communications skills, besides technical proficiency in the basic science. SELECTION OF COURSES In selecting courses to meet the requirements of the programs outlined below, the following general regulations also must be observed: 1) A student registering in a course without having successfully completed the prerequisite course(s) will be required to drop that course unless the consent of the Director of Computer Science (or her/his designate) is obtained. 2) If two or more courses cover essentially the same material, only one may be taken for credit. 3) The prior approval of the Director of Computer Science (or her/his designate) must be obtained in order to substitute any courses for required ones. 4) Statistics courses other than those specifically listed as being required for the degree, or ones for which the required statistics courses are themselves prerequisites, may not be taken for credit. 5) In general, Computer Science courses offered in other areas may not be taken for credit. COMP-1047, COMP-2067, COMP-2057, COMP-2077, COMP-2707, and COMP-3057 may not be used to satisfy the major requirements of any degree program in Computer Science, or in joint programs with Computer Science, unless permission is obtained from the Director of Computer Science (or her/his designate)." 
"Co-op Overview","CO-OPERATIVE EDUCATION The Co-operative Education Program is available for the following degrees: Bachelor of Computer Science (Honours) Bachelor of Computer Science (Honours Applied Computing) Bachelor of Science (Honours Computer Information Systems) Bachelor of Science (Honours Computer Science with Software Engineering Specialization) Introduction The Co-operative Education Program offers students the opportunity to combine their classroom experiences with related work experiences. Students who apply and are accepted into the Co-operative Education Program must successfully complete at least three paid work experiences interspersed throughout the four-year Honours program. The experience gained while participating in these structured and supervised work placements is viewed as an integral component of the student's educational program."
"Co-op Regulations","All Co-op positions must be full-time, paid, related to the degree program and approved by the University. The process of securing a Co-op position is competitive. Co-op students will apply for work opportunities as advertised by the Centre for Career Education using an Internet-based software program and employers will make interview and hiring decisions. Students are also encouraged to seek Co-op employment outside of the advertised postings by completing a guided job search process facilitated by the Centre for Career Education. Academic Regulations Computer Science Co-op students must maintain full-time academic status and satisfy the following: (a) Must maintain a minimum average of 60%, and (b) Must maintain a minimum major average of 65%, (c) Must not have more than one grade below 50% on their transcript, and; (d) Must maintain a minimum major average of 65% during the one semester probation period. General Information Withdrawal from the Co-op program will be granted on an exception basis only as it must be determined that the student has no outstanding commitments to employers. Students who wish to withdraw must meet with a Co-op Coordinator and complete a withdrawal form. However, the only time a student may withdraw from an undergraduate Co-op program without further Co-op fee payment implications is by the 1st Friday of classes after their first Co-op work term. Students who withdraw from Co-operative Education at any other time will be liable for paying the Co-op fee for the term in which they are dropping and one additional term. This will help offset the costs of developing another student for placement. In the interest of building solid partnerships with employers, students who have accepted a Co-op employment offer (either by ranking a position in round 1 of the job competition or by accepting a position either verbally or in writing in later rounds) must honour that commitment. Therefore, once students have accepted an offer of employment for a work term, they will be considered registered in the appropriate work term course and must remain in the Co-op program until they have completed their work term requirements. Failure to honour these commitments and/or to complete all work term requirements will lead to being required to withdraw from the Co-op program and will result in a failing grade on his/her transcript for that work term. Sequence of Work and Study Terms Year of Study Fall Semester Winter Semester Summer Semester Year 1 Study Study Off Year 2 Study Study Work Year 3 Study Work Study Year 4 Work Study Work Year 5 Study" 
"Computer Science General Program","Bachelor of Computer Science (General) Degree Requirements Total courses: thirty. (a) COMP-1000, COMP-1400, COMP-1410, COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP2660, COMP-3150, COMP-3220, COMP-3300, COMP-3340 (or COMP-3670), plus two additional Computer Science courses (excluding COMP-XXX7). (b) MATH-1250 (or MATH-1260), MATH-1720 (or MATH-1760), and STAT-2910; (c) one course from Arts/Languages, and one from Social Sciences; (d) eleven other courses from any area of study, including Computer Science. The major average will be calculated on the basis of the grades obtained in COMP-1000, COMP-1400, COMP-1410, COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP-2660, COMP-3150, COMP-3220, COMP-3300, and either COMP-3340 or COMP-3670 or both. Recommended Course Sequence First Year: ten courses, including COMP-1000, COMP-1400, COMP-1410, MATH-1250 or MATH-1260, MATH-1720 (or MATH-1760). Second Year: ten courses, including COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP-2660, and STAT-2910. Third Year: ten courses, including COMP-3150, COMP-3220, COMP-3300, and COMP-3340 (or COMP3670). Note: Students who plan to complete an Honours Computer Science degree at a later date should restrict the number of Computer Science courses they take as options, in order to transfer seamlessly into a Computer Science Honours program. These students should consult a program advisor." 
"Computer Science Honours Program","Bachelor of Computer Science (Honours) This program is available with or without Co-op). See Program and Co-operative Education Regulations above. Degree Requirements Total courses: forty. (a) COMP-1000, COMP-1400, COMP-1410, COMP-2120, COMP-2140, COMP-2310, COMP-2540, COMP2560, COMP-2650, COMP-2660, COMP-3110, COMP-3150, COMP-3220, COMP-3300, COMP-3540, COMP-3670, COMP-4400, COMP-4540, COMP-4960 or COMP-4990 (both 6.0 credit hour courses), plus one additional Computer Science course at the COMP-3XX0 or COMP-4XX0 level. (b) MATH-1020, MATH-1250 (or MATH-1260), MATH-1720 (or MATH-1760), MATH-1730, MATH-3940 (or MATH-3800) and STAT-2910 (or STAT-2920); (c) three courses from Arts, Languages or Social Sciences, with at least one from Arts/Languages and one from Social Sciences; (d) three courses at the 2XXX-4XXX level from Mathematics/Statistics or Computer Science (excluding COMP-XXX7);* (e) seven other courses from any area of study, including Computer Science. It is recommended that students pursuing a Multi-media specialization should pick 6 courses (in consultation with an academic advisor) from Visual Arts and Communication, Media and Film. The major average will be calculated on the basis of grades obtained in COMP-1000, COMP-1400, COMP1410, COMP-2120, COMP-2140, COMP-2310, COMP-2540, COMP-2560, COMP-2650, COMP-2660, COMP-3110, COMP-3150, COMP-3220, COMP-3300, COMP-3540, COMP-3670, COMP-4400, COMP-4540, and either COMP-4960 or COMP-4990. *Specializations Students may specialize in one of the following areas. A special annotation will be made on the transcript for a specialization in one of the following areas, if the specified courses are completed: i) Artificial Intelligence specialization: COMP-3710; (at least two of COMP-4730, or COMP-4740, or COMP-4770 (requires COMP-3770)); and COMP-4990 project course (or COMP-4960 Research Project)) on an approved topic in Artificial Intelligence. ii) Multi-media specialization: COMP-3500; COMP-4500; at least one of COMP-3340 and COMP-3520; and COMP-4990 project course (or COMP-4960 Research Project) on an approved topic in Multi-media. iii) Networks and Security specialization: COMP-4670; at least two of COMP-3340, COMP-3680 and COMP-4680; and COMP-4990 project course (or COMP-4960 Research Project), on an approved topic in Networks and Security. iv) Game Development specialization: One of (COMP-3500 or COMP-3520) and COMP-3770, COMP-4770 and COMP-4990 project course (or COMP-4960 Research Project) on an approved topic in Game Development. Recommended Course Sequence First Year: ten courses, including COMP-1000, COMP-1400, COMP-1410, MATH-1020, MATH-1250 (or MATH-1260) , MATH-1720 (or MATH-1760), and MATH-1730. Second Year: ten courses, including COMP-2120, COMP-2140, COMP-2310, COMP-2540, COMP-2560, COMP-2650, COMP-2660, and STAT-2910 (or STAT-2920). Third Year: ten courses, including COMP-3110, COMP-3150, COMP-3220, COMP-3300, COMP-3540, COMP-3670, and MATH-3940 (or MATH-3800). Fourth Year: ten courses, including COMP-4400, COMP-4540, COMP-4990 (a 6.0 credit hour course)" 
"Computer Science Honours Applied Computing Program","Bachelor of Computer Science (Honours Applied Computing) This program is available with or without Co-op. See Program and Co-operative Education Regulations above. Degree Requirements Total courses: forty. (a) COMP-1000, COMP-1400, COMP-1410, COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP2660, COMP-3150, COMP-3220, COMP-3300, COMP-3340, COMP-3400, COMP-3670, COMP-4990 (6 credit course), COMP-4150, COMP-4200, COMP-4220, COMP-4250, and two other Computer Science courses (excluding COMP- XXX7). (b) MATH-1250 (or MATH-1260), MATH-1720 (or MATH-1760), and STAT-2910 (c) One course from Arts/Languages, and one from Social Sciences (d) Thirteen other courses from any area of study, including Computer Science The major average will be calculated on the basis of grades obtained in COMP-1000, COMP-1400, COMP1410, COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP-2660, COMP-3150, COMP-3220, COMP-3400, COMP-3300, COMP-3340, COMP-3670, COMP-4150, COMP-4200, COMP-4220, COMP-4250, and COMP-4990. Recommended Course Sequence First Year: ten courses, including COMP-1000, COMP-1400, COMP-1410, MATH-1250 (or MATH-1260), MATH-1720 (or MATH-1760). Second Year: ten courses, including COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP-2660, and STAT-2910. Third Year: ten courses, including COMP-3150, COMP-3220, COMP-3300, COMP-3340, COMP-3400, COMP-3670. Fourth Year: ten courses, including COMP-4150, COMP-4200, COMP-4220, COMP-4250, COMP-4990 (a 6.0 credit hour course)." 
"Computer Information Systems Honours Program","Bachelor of Science (Honours Computer Information Systems) This program is available with or without Co-op. See Program and Co-operative Education Regulations above. Degree Requirements Total courses: forty. (a) Computer Science: COMP-1000, COMP-1400, COMP-1410, COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP-2660, COMP-3150, COMP-3220, COMP-3300, COMP-3340, COMP-3400, COMP-4990 (a 6.0 credit hour course), plus two additional Computer Science course at the COMP-3XX0 or COMP4XX0 level. (b) Business: ACCT-1510, ACCT-2550, FINA-2700, MKTG-1310, and STEN-1000, plus four additional Business courses, but excluding MSCI-2020, MSCI-2130, MSCI-2200 and MSCI-3200. (c) MATH-1250 (or MATH-1260), MATH-1720 or MATH-1760), and STAT-2910; (d) three courses from Arts, Languages or Social Sciences, with at least one from Arts/Languages and one from Social Sciences; (e) six additional courses from any area of study excluding Business; (f) ECON-1100, ECON-1110. The major average will be calculated on the basis of grades obtained in COMP-1000, COMP-1400, COMP1410, COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP-2660, COMP-3150, COMP-3220, COMP-3300, COMP-3340, COMP-3400, COMP-4990, ACCT-1510, ACCT-2550, FINA-2700, MKTG-1310, and STEN-1000. Recommended Course Sequence First Year: ten courses, including ECON-1100, ECON-1110, COMP-1000, COMP-1400, COMP-1410, MATH1250 (or MATH-1260), MATH-1720 (or MATH-1760), ACCT-1510, and STEN-1000. Second Year: ten courses, including COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP-2660, STAT-2910, and MKTG-1310, ACCT-2550 and FINA-2700; Third Year: ten courses, including COMP-3150, COMP-3220, COMP-3300, COMP-3340, and COMP-3400. Fourth Year: ten courses, including COMP-4990 (a 6.0 credit hour course) and two Computer Science courses at the 3XXX or the 4XXX level." 
"Computer Science Honours Program With Software Engineering Specialization","Bachelor of Science (Honours Computer Science with Software Engineering Specialization) This program is available with or without Co-op. See Program and Co-operative Education Regulations above. Degree Requirements Total courses: forty. (a) COMP-1000, COMP-1400, COMP-1410, COMP-2120, COMP-2140, COMP-2310, COMP-2540, COMP2560, COMP-2650, COMP-2660, COMP-2800, COMP-3110, COMP-3150, COMP-3220, COMP-3300, COMP-3540, COMP-3670, COMP-4110, COMP-4400, COMP-4540, COMP-4800, COMP-4960 or COMP4990 (both 6.0 credit hour courses), plus one additional Computer Science course (excluding COMPXXX7). (b) MATH-1250 (or MATH-1260), MATH-1720 (or MATH-1760), MATH-1730, MATH-1020, and STAT-2920 (or STAT-2910). (c) four courses, one from each category: (i) Dynamics and Psychology: PSYC-1150, PSYC-2180, PHIL2280, PHIL-1290, (ii) Communication skills: CMAF-2210, DRAM-2100, ENGL-1001, (iii) Professionalism: PHIL-2210, PHIL-2240, GART-2090, ENGL-1005, and (iv) Business and Management: MKTG-1310, MGMT2400, STEN-1000. (d) two courses from Arts, Languages or Social Sciences, including one from Arts/Languages and one from Social Sciences; (e) four additional courses from any area of study, including Computer Science. (f) one course at the 2XXX-4XXX level from Mathematics/Statistics or Computer Science (excluding COMP-XXX7). The major average will be calculated on the basis of grades obtained in COMP-1000, COMP-1400, COMP1410, COMP-2120, COMP-2140, COMP-2310, COMP-2540, COMP-2560, COMP-2650, COMP-2660, COMP-2800, COMP-3110, COMP-3150, COMP-3220, COMP-3300, COMP-3540, COMP-3670, COMP-4110, COMP-4400, COMP-4540, COMP-4800, and either COMP-4960 or COMP-4990. Recommended Course Sequence First Year: ten courses, including COMP-1000, COMP-1400, COMP-1410, MATH-1250 (or MATH-1260), MATH-1720 (or MATH-1760), MATH-1730 and MATH-1020. Second Year: ten courses, including COMP-2120, COMP-2140, COMP-2310, COMP-2540, COMP-2560, COMP-2650, COMP-2660, COMP-2800, and STAT-2920 (or STAT-2910). Third Year: ten courses, including COMP-3110, COMP-3150, COMP-3220, COMP-3300, COMP-3540, COMP-3670. Fourth Year: ten courses, including COMP-4110, COMP-4400, COMP-4540, COMP-4800, and COMP-4990 (a 6.0 credit hour course). To remove any suggestion that the word 'engineering', in the context of courses or programs in Computer Science implies the meaning of 'engineering' as used in the context of courses or programs in Professional Engineering, it is hereby acknowledged that Software Engineering is a collection of principles, models, methods, and techniques for the development, maintenance, evolution, and reuse of software that meets fundamental performance and quality requirements in an economic and competitive manner." 
"Business Administration and Computer Science Honours Program","Honours Business Administration and Computer Science (with/without Co-op; with/without Thesis; with/without Specialization) This is a joint offering between the School of Computer Science and the Odette School of Business. See Odette School of Business for details. Honours Mathematics and Computer Science This is a joint offering between the School of Computer Science and the Department of Mathematics and Statistics. See Department of Mathematics and Statistics for details. Other Combined Honours Computer Science Programs Degree Requirements Total courses: forty. (a) Computer Science: COMP-1000, COMP-1400, COMP-1410, COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP-2660, COMP-3150, COMP-3220, COMP-3300, COMP-3400, and COMP-4990, plus three additional Computer Science courses at the 3XXX level or above (excluding COMP-XXX7). (b) Course requirements - Other Subject: courses used to calculate the major average in the other subject area, as prescribed by that area of study. (c) MATH-1250 (or MATH-1260), MATH-1720 (or MATH-1760), and STAT-2910 (or STAT-2920); (d) any additional courses, excluding courses used to calculate the major average as determined by the second area of study; (e) additional courses, if necessary, from any area of study to a total of forty courses. The major average will be calculated on the basis of grades obtained in COMP-1000, COMP-1400, COMP1410, COMP-2120, COMP-2540, COMP-2560, COMP-2650, COMP-2660, COMP-3150, COMP-3220, COMP-3300, COMP-3400, and COMP-4990 and those major courses in the other area of specialization. Students interested in pursuing a graduate degree in Computer Science are strongly encouraged to take MATH-1020, MATH-1730, COMP-2140, COMP-2310, COMP-3540 and COMP-4540 during their undergraduate studies to increase their chance of acceptance into a graduate program in Computer Science." 
