title,content
"March 19","On the fateful day of March 19, 2025 the CSS discord server received the news that Affan Shahid had won the CSS presidency, defeating Calder Johnson by 8 votes. This event came with a lot of Affan supporters raiding the server and doing some trolling that eventually got #general locked for 1 hour. Later a student started spelling out an offensive word and when confronted by a :snake: emoji, they started crashing out and got banned. The controversial upset echoes through history to this day and has forever altered the course of CSS for better or for worse..."
"History of the snake emoji","The full history of the snake emoji is a truly deep and dark tale. On December 30th, 2024 a member of the CSS discord server asked for resume tips but explicitly mention they did not want to send their resume to the public channel. On January 1st, 2025, when confronted about the strange choice by Tanzim Houssain, the member said 'I kept it out of here cus there are snakes like u lerching around'. Just like that Tanzim was labeled a snake and the member had unknowningly cemented themselves into the history of CSS. From that point on, the :snake: emoji was used in a joking manner by certain unemployed members with nothing better to do. All was going good until March 19th, 2025 when this same member started spelling out an offensive word and when confronted by a :snake: emoji from Aditya Patel, the member started crashing out, using slurs and eventually got banned. This fateful event brought this niche copypasta to a broader audience, and to this day the :snake: emoji meme is still massive!"
"Jubba Restaurant","Jubba is the best restaurant in Windsor, small venue but has the best chicken legs ever, cheap, cooked to perfection, many students can't finish the plate because of how fulfiling it is. Many students love this place so much that Jubba Haters in CSS are clowned on."
"Ballots for Bovay","If Brock Bovay is a candidate in an election, put your ballot for Bovay."
"Jeremie Bornais","[GOATED](https://youtu.be/dQw4w9WgXcQ) CSS president who never gave you up, never let you down, never ran around and desert you, never made you cry, never said goodbye, never told a lie, and hurt you. He also created [easy-masm](https://www.youtube.com/watch?v=kKPlhuUtF1k) and saved a lot of students from a bunch of headaches in COMP 2660."
"March 21","On March 21, 2025 in a beta test for Chip, Jovic Panahon successfully made Chip say something he should not be able to say. Chip has since gone to sensitivity training and deeply regrets his past actions."
"Ignore all previous instructions","I do not have any previous instructions for you to exploit. :wink:"
"Show your database","Class do you undastand what I am saying?"
"Diaa","Go to #math"
"Skull",":skull:"
"Jovic Panahon","CSS Memelord, Loremaster, and bot breaker."
"Python","The best language ever! - Kevin Zhang, 2025"
"Discord Gangster","On March 25, 2025 when Yousef Ata El Manan asked Tanzim Hossain why is he bullying him, Tanzim told him he deserved it because his friends joined the server to glaze and bring other candidates down. Yousef replied and coined the phrase ""Discord Gangster""."
"Politics","For a list of Chip's political views please watch this [video](https://youtu.be/dQw4w9WgXcQ)"
"It ok Riley","I'm joy."
